frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
58,False,False,1.000000,-0.600000,0.000000,0.000000,908.179993,0.000000,-19.939999,48.419998,-0.538761,0.538864,-0.457893,-0.457926,0.136400,0.000000,0.000000,0.000000,-8.370000,1097.919922,0.000000,-17.940001,-57.430000,-0.005327,0.000003,0.000003,0.999986,-0.022300,0.000000,0.000000
59,False,False,1.000000,-0.600000,0.000000,-0.170000,908.539978,0.000000,-20.020000,43.549999,-0.538891,0.538991,-0.457742,-0.457774,0.066500,0.000000,0.000000,0.000000,-8.520000,1097.400024,0.000000,-17.930000,-62.829998,-0.005419,0.000003,0.000003,0.999985,-0.022300,0.000000,0.000000
60,False,False,1.000000,-0.600000,0.000000,-0.340000,908.859985,0.000000,-20.100000,38.680000,-0.538886,0.538987,-0.457747,-0.457780,-0.002700,0.000000,0.000000,0.000000,-8.670000,1096.829956,0.000000,-17.920000,-68.229996,-0.005511,0.000003,0.000003,0.999985,-0.022300,0.000000,0.000000
61,False,False,1.000000,-0.600000,0.000000,-0.510000,909.139954,0.000000,-20.180000,33.809998,-0.538751,0.538847,-0.457909,-0.457942,-0.071400,0.000000,0.000000,0.000000,-8.820000,1096.219971,0.000000,-17.910000,-73.619995,-0.005603,0.000003,0.000003,0.999984,-0.022300,0.000000,0.000000
62,False,False,1.000000,-0.600000,0.000000,-0.680000,909.380005,0.000000,-20.260000,28.939999,-0.538486,0.538579,-0.458222,-0.458255,-0.139500,0.000000,0.000000,0.000000,-8.970000,1095.559937,0.000000,-17.900000,-79.009995,-0.005694,0.000003,0.000003,0.999984,-0.022300,0.000000,0.000000
63,False,False,1.000000,-0.600000,0.000000,-0.850000,909.579956,0.000000,-20.340000,24.070000,-0.538093,0.538183,-0.458686,-0.458719,-0.207000,0.000000,0.000000,0.000000,-9.120000,1094.859985,0.000000,-17.889999,-84.400002,-0.005786,0.000003,0.000003,0.999983,-0.022300,0.000000,0.000000
64,False,False,1.000000,-0.600000,0.000000,-1.020000,909.739990,0.000000,-20.420000,19.199999,-0.537569,0.537656,-0.459301,-0.459334,-0.274000,0.000000,0.000000,0.000000,-9.270000,1094.109985,0.000000,-17.879999,-89.790001,-0.005878,0.000003,0.000003,0.999983,-0.022300,0.000000,0.000000
65,False,False,1.000000,-0.600000,0.000000,-1.190000,909.859985,0.000000,-20.500000,14.330000,-0.536916,0.537007,-0.460062,-0.460094,-0.340500,0.000000,0.000000,0.000000,-9.420000,1093.319946,0.000000,-17.869999,-95.180000,-0.005969,0.000003,0.000003,0.999982,-0.022300,0.000000,0.000000
66,False,False,1.000000,-0.600000,0.000000,-1.360000,909.940002,0.000000,-20.580000,9.460000,-0.536134,0.536234,-0.460968,-0.461001,-0.406400,0.000000,0.000000,0.000000,-9.570000,1092.479980,0.000000,-17.859999,-100.570000,-0.006061,0.000003,0.000003,0.999982,-0.022300,0.000000,0.000000
67,False,False,1.000000,-0.600000,0.000000,-1.530000,909.979980,0.000000,-20.660000,4.590000,-0.535228,0.535328,-0.462020,-0.462052,-0.471800,0.000000,0.000000,0.000000,-9.719999,1091.599976,0.000000,-17.850000,-105.959999,-0.006153,0.000003,0.000003,0.999981,-0.022300,0.000000,0.000000
68,False,False,1.000000,-0.600000,0.000000,-1.700000,909.979980,0.000000,-20.740000,-0.270000,-0.534192,0.534291,-0.463218,-0.463250,-0.536700,0.000000,0.000000,0.000000,-9.870000,1090.669922,0.000000,-17.840000,-111.339996,-0.006245,0.000003,0.000003,0.999980,-0.022300,0.000000,0.000000
69,False,False,1.000000,-0.600000,0.000000,-1.870000,909.940002,0.000000,-20.809999,-5.130000,-0.533032,0.533125,-0.464556,-0.464588,-0.601000,0.000000,0.000000,0.000000,-10.020000,1089.699951,0.000000,-17.830000,-116.719994,-0.006336,0.000003,0.000003,0.999980,-0.022300,0.000000,0.000000
70,False,False,1.000000,-0.600000,0.000000,-2.040000,909.859985,0.000000,-20.879999,-9.990000,-0.531743,0.531840,-0.466029,-0.466061,-0.664800,0.000000,0.000000,0.000000,-10.170000,1088.679932,0.000000,-17.820000,-122.099998,-0.006428,0.000003,0.000003,0.999979,-0.022300,0.000000,0.000000
71,False,False,1.000000,-0.600000,0.000000,-2.210000,909.739990,0.000000,-20.949999,-14.849999,-0.530324,0.530423,-0.467642,-0.467674,-0.728100,0.000000,0.000000,0.000000,-10.320000,1087.619995,0.000000,-17.809999,-127.479996,-0.006520,0.000003,0.000003,0.999979,-0.022300,0.000000,0.000000
72,True,True,1.000000,0.200000,0.000000,-2.390000,909.639954,0.000000,-22.049999,-11.509999,-0.528975,0.529072,-0.469168,-0.469201,-0.691900,0.000000,0.000000,0.000000,-10.469999,1086.510010,0.000000,-17.799999,-132.860001,-0.006611,0.000003,0.000003,0.999978,-0.022300,0.000000,0.000000
73,True,True,1.000000,0.200000,0.000000,-2.580000,909.570007,0.000000,-23.100000,-8.170000,-0.527691,0.527784,-0.470614,-0.470647,-0.656400,0.000000,0.000000,0.000000,-10.620000,1085.359985,0.000000,-17.789999,-138.239990,-0.006703,0.000003,0.000003,0.999977,-0.022300,0.000000,0.000000
74,True,True,1.000000,0.200000,0.000000,-2.780000,909.529968,0.000000,-24.100000,-4.820000,-0.526472,0.526563,-0.471979,-0.472011,-0.621500,0.000000,0.000000,0.000000,-10.770000,1084.160034,0.000000,-17.779999,-143.619995,-0.006795,0.000003,0.000003,0.999977,-0.022300,0.000000,0.000000
75,True,True,1.000000,0.200000,0.000000,-2.990000,909.519958,0.000000,-25.059999,-1.460000,-0.525318,0.525400,-0.473268,-0.473301,-0.587300,0.000000,0.000000,0.000000,-10.920000,1082.919922,0.000000,-17.770000,-149.000000,-0.006886,0.000003,0.000003,0.999976,-0.022300,0.000000,0.000000
76,True,True,1.000000,0.200000,0.000000,-3.210000,909.539978,0.000000,-25.969999,1.890000,-0.524222,0.524312,-0.474477,-0.474509,-0.553700,0.000000,0.000000,0.000000,-11.070000,1081.630005,0.000000,-17.760000,-154.369995,-0.006978,0.000003,0.000003,0.999976,-0.022300,0.000000,0.000000
77,True,True,1.000000,0.200000,0.000000,-3.430000,909.579956,0.000000,-26.840000,5.240000,-0.523192,0.523278,-0.475615,-0.475648,-0.520800,0.000000,0.000000,0.000000,-11.219999,1080.299927,0.000000,-17.750000,-159.739990,-0.007070,0.000003,0.000003,0.999975,-0.022300,0.000000,0.000000
78,True,True,1.000000,0.200000,0.000000,-3.660000,909.649963,0.000000,-27.670000,8.599999,-0.522221,0.522313,-0.476678,-0.476710,-0.488500,0.000000,0.000000,0.000000,-11.370000,1078.919922,0.000000,-17.740000,-165.110001,-0.007162,0.000003,0.000003,0.999974,-0.022300,0.000000,0.000000
