frame,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
66,18.719999,-28.510000,86.279999,168.389999,45.669998,28.869999,0.015799,0.510455,0.254007,0.821381,0.973700,-0.030200,-0.549200,882.179993,618.479980,341.289978,2195.679932,1542.939941,617.399963,-0.572091,0.777646,-0.052753,-0.255334,3.556400,-4.821900,0.316800
67,20.119999,-28.129999,86.519997,168.389999,45.669998,28.869999,0.020125,0.509295,0.254233,0.821936,0.949700,-0.033800,-0.523500,900.469971,631.329956,346.429993,2195.119873,1542.539917,617.239990,-0.575662,0.782560,-0.053045,-0.231084,3.556400,-4.821900,0.316800
68,21.520000,-27.750000,86.759995,168.389999,45.669998,28.869999,0.024317,0.508140,0.254492,0.822457,0.926400,-0.037200,-0.498900,918.760010,644.179993,351.570007,2194.560059,1542.140015,617.079956,-0.578872,0.786985,-0.053303,-0.206689,3.556400,-4.821900,0.316800
69,22.920000,-27.369999,87.000000,168.389999,45.669998,28.869999,0.028379,0.506991,0.254778,0.822947,0.903700,-0.040400,-0.475300,937.039978,657.029968,356.709991,2194.000000,1541.739990,616.919983,-0.581720,0.790917,-0.053530,-0.182169,3.556400,-4.821900,0.316800
70,24.320000,-26.990000,87.239998,168.389999,45.669998,28.869999,0.032312,0.505848,0.255091,0.823409,0.881600,-0.043500,-0.452700,955.320007,669.869995,361.850006,2193.439941,1541.339966,616.760010,-0.584207,0.794355,-0.053719,-0.157531,3.556400,-4.821900,0.316800
71,25.719999,-26.609999,87.479996,168.389999,45.669998,28.869999,0.036121,0.504709,0.255431,0.823844,0.860100,-0.046400,-0.431100,973.589966,682.709961,366.989990,2192.879883,1540.939941,616.599976,-0.586328,0.797297,-0.053875,-0.132796,3.556400,-4.821900,0.316800
72,27.119999,-26.230000,87.720001,168.389999,45.669998,28.869999,0.039811,0.503582,0.255793,0.824251,0.839200,-0.049100,-0.410400,991.859985,695.549988,372.130005,2192.320068,1540.539917,616.440002,-0.588081,0.799741,-0.053999,-0.107980,3.556400,-4.821900,0.316800
73,28.519999,-25.849998,87.959999,168.389999,45.669998,28.869999,0.043388,0.502465,0.256176,0.824633,0.818900,-0.051600,-0.390600,1010.119995,708.380005,377.269989,2191.760010,1540.140015,616.279968,-0.589467,0.801684,-0.054091,-0.083094,3.556400,-4.821900,0.316800
74,29.920000,-25.469999,88.199997,168.389999,45.669998,28.869999,0.046857,0.501354,0.256580,0.824994,0.799200,-0.054000,-0.371700,1028.380005,721.209961,382.399994,2191.199951,1539.739990,616.119995,-0.590487,0.803126,-0.054145,-0.058159,3.556400,-4.821900,0.316800
75,31.320000,-25.090000,88.439995,168.389999,45.669998,28.869999,0.050218,0.500253,0.257001,0.825333,0.780000,-0.056200,-0.353600,1046.640015,734.039978,387.529999,2190.639893,1539.339966,615.959961,-0.591134,0.804068,-0.054167,-0.033186,3.556400,-4.821900,0.316800
76,32.719997,-24.709999,88.680000,168.389999,45.669998,28.869999,0.053476,0.499164,0.257443,0.825651,0.761300,-0.058300,-0.336200,1064.890015,746.859985,392.660004,2190.079834,1538.939941,615.799988,-0.591415,0.804505,-0.054156,-0.008192,3.556400,-4.821900,0.316800
77,34.119999,-24.330000,88.919998,168.389999,45.669998,28.869999,0.056632,0.498085,0.257902,0.825949,0.743100,-0.060200,-0.319600,1083.140015,759.679993,397.789978,2189.520020,1538.539917,615.640015,-0.591323,0.804442,-0.054113,0.016808,3.556400,-4.821900,0.316800
78,35.520000,-23.949999,89.159996,168.389999,45.669998,28.869999,0.059691,0.497016,0.258377,0.826228,0.725400,-0.062000,-0.303700,1101.380005,772.500000,402.919983,2188.959961,1538.140015,615.479980,-0.590865,0.803873,-0.054032,0.041796,3.556400,-4.821900,0.316800
79,36.919998,-23.570000,89.400002,168.389999,45.669998,28.869999,0.062658,0.495959,0.258862,0.826492,0.708200,-0.063600,-0.288500,1119.619995,785.309998,408.049988,2188.399902,1537.739990,615.320007,-0.590034,0.802805,-0.053918,0.066758,3.556400,-4.821900,0.316800
80,38.320000,-23.189999,89.639999,168.389999,45.669998,28.869999,0.065534,0.494912,0.259364,0.826739,0.691500,-0.065100,-0.273900,1137.849976,798.119995,413.179993,2187.839844,1537.339966,615.159973,-0.588836,0.801234,-0.053773,0.091677,3.556400,-4.821900,0.316800
81,39.719997,-22.809999,89.879997,168.389999,45.669998,28.869999,0.068323,0.493882,0.259876,0.826968,0.675200,-0.066500,-0.260000,1156.079956,810.929993,418.309998,2187.280029,1536.939941,615.000000,-0.587272,0.799161,-0.053595,0.116542,3.556400,-4.821900,0.316800
