frame,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
58,74.290001,4999.120117,1000.000000,96.430000,-560.010010,0.000000,0.480330,0.518967,-0.518957,-0.480249,0.000000,-0.000800,1.038200,-216.159988,4891.000000,1000.000000,-1296.199951,-1045.910034,0.000000,0.000003,0.000003,-0.328191,0.944611,0.000000,0.000000,-6.000000
59,75.089996,4994.449707,1000.000000,96.430000,-560.010010,0.000000,0.478135,0.520991,-0.520980,-0.478054,0.000000,-0.000700,1.013300,-226.959991,4882.290039,1000.000000,-1295.869995,-1045.640015,0.000000,0.000003,0.000003,-0.351702,0.936112,0.000000,0.000000,-6.000000
60,75.889999,4989.779785,1000.000000,96.430000,-560.010010,0.000000,0.475987,0.522957,-0.522944,-0.475901,0.000000,-0.000600,0.989000,-237.759995,4873.580078,1000.000000,-1295.539917,-1045.369995,0.000000,0.000003,0.000003,-0.374991,0.927028,0.000000,0.000000,-6.000000
61,76.689995,4985.109863,1000.000000,96.430000,-560.010010,0.000000,0.473883,0.524866,-0.524854,-0.473792,0.000000,-0.000500,0.965200,-248.549988,4864.870117,1000.000000,-1295.209961,-1045.099976,0.000000,0.000003,0.000003,-0.398048,0.917364,0.000000,0.000000,-6.000000
62,77.489998,4980.439941,1000.000000,96.430000,-560.010010,0.000000,0.471823,0.526721,-0.526709,-0.471725,0.000000,-0.000400,0.942000,-259.339996,4856.159668,1000.000000,-1294.880005,-1044.829956,0.000000,0.000003,0.000003,-0.420858,0.907127,0.000000,0.000000,-6.000000
63,78.290001,4975.770020,1000.000000,96.430000,-560.010010,0.000000,0.469800,0.528530,-0.528511,-0.469702,0.000000,-0.000300,0.919400,-270.130005,4847.459961,1000.000000,-1294.549927,-1044.559937,0.000000,0.000003,0.000003,-0.443403,0.896322,0.000000,0.000000,-6.000000
64,79.089996,4971.100098,1000.000000,96.430000,-560.010010,0.000000,0.467820,0.530283,-0.530265,-0.467723,0.000000,-0.000200,0.897300,-280.919983,4838.759766,1000.000000,-1294.219971,-1044.289917,0.000000,0.000003,0.000003,-0.465672,0.884957,0.000000,0.000000,-6.000000
65,79.889999,4966.429688,1000.000000,96.430000,-560.010010,0.000000,0.465883,0.531982,-0.531969,-0.465786,0.000000,-0.000100,0.875700,-291.699982,4830.060059,1000.000000,-1293.890015,-1044.020020,0.000000,0.000003,0.000003,-0.487651,0.873039,0.000000,0.000000,-6.000000
66,80.689995,4961.759766,1000.000000,96.430000,-560.010010,0.000000,0.463984,0.533640,-0.533626,-0.463887,0.000000,0.000000,0.854700,-302.479980,4821.359863,1000.000000,-1293.559937,-1043.750000,0.000000,0.000003,0.000003,-0.509322,0.860576,0.000000,0.000000,-6.000000
67,81.489998,4957.089844,1000.000000,96.430000,-560.010010,0.000000,0.462128,0.535248,-0.535233,-0.462031,0.000000,0.000000,0.834200,-313.259979,4812.659668,1000.000000,-1293.229980,-1043.479980,0.000000,0.000003,0.000003,-0.530675,0.847576,0.000000,0.000000,-6.000000
68,82.290001,4952.419922,1000.000000,96.430000,-560.010010,0.000000,0.460310,0.536812,-0.536798,-0.460213,0.000000,0.000000,0.814200,-324.029999,4803.969727,1000.000000,-1292.900024,-1043.209961,0.000000,0.000003,0.000003,-0.551698,0.834044,0.000000,0.000000,-6.000000
69,83.089996,4947.750000,1000.000000,96.430000,-560.010010,0.000000,0.458530,0.538333,-0.538319,-0.458433,0.000000,0.000000,0.794600,-334.799988,4795.279785,1000.000000,-1292.569946,-1042.939941,0.000000,0.000003,0.000003,-0.572377,0.819991,0.000000,0.000000,-6.000000
70,83.889999,4943.080078,1000.000000,96.430000,-560.010010,0.000000,0.456787,0.539813,-0.539797,-0.456690,0.000000,0.000000,0.775500,-345.570007,4786.589844,1000.000000,-1292.239990,-1042.669922,0.000000,0.000003,0.000003,-0.592693,0.805428,0.000000,0.000000,-6.000000
71,84.689995,4938.409668,1000.000000,96.430000,-560.010010,0.000000,0.455082,0.541254,-0.541232,-0.454985,0.000000,0.000000,0.756900,-356.339996,4777.899902,1000.000000,-1291.909912,-1042.400024,0.000000,0.000003,0.000003,-0.612644,0.790359,0.000000,0.000000,-6.000000
72,85.489998,4933.739746,1000.000000,96.430000,-560.010010,0.000000,0.453415,0.542651,-0.542630,-0.453318,0.000000,0.000000,0.738700,-367.100006,4769.219727,1000.000000,-1291.579956,-1042.130005,0.000000,0.000003,0.000003,-0.632210,0.774797,0.000000,0.000000,-6.000000
73,86.290001,4929.069824,1000.000000,96.430000,-560.010010,0.000000,0.451781,0.544014,-0.543989,-0.451684,0.000000,0.000000,0.720900,-377.859985,4760.540039,1000.000000,-1291.250000,-1041.859985,0.000000,0.000003,0.000003,-0.651378,0.758753,0.000000,0.000000,-6.000000
74,87.089996,4924.399902,1000.000000,96.430000,-560.010010,0.000000,0.450184,0.545337,-0.545311,-0.450087,0.000000,0.000000,0.703600,-388.619995,4751.859863,1000.000000,-1290.919922,-1041.589966,0.000000,0.000003,0.000003,-0.670141,0.742233,0.000000,0.000000,-6.000000
75,87.889999,4919.729980,1000.000000,96.430000,-560.010010,0.000000,0.448619,0.546628,-0.546595,-0.448522,0.000000,0.000000,0.686700,-399.369995,4743.179688,1000.000000,-1290.589966,-1041.319946,0.000000,0.000003,0.000003,-0.688484,0.725252,0.000000,0.000000,-6.000000
76,88.689995,4915.060059,1000.000000,96.430000,-560.010010,0.000000,0.447093,0.547875,-0.547846,-0.446996,0.000000,0.000000,0.670200,-410.119995,4734.500000,1000.000000,-1290.260010,-1041.049927,0.000000,0.000003,0.000003,-0.706400,0.707813,0.000000,0.000000,-6.000000
77,89.489998,4910.389648,1000.000000,96.430000,-560.010010,0.000000,0.445598,0.549093,-0.549060,-0.445501,0.000000,0.000000,0.654100,-420.869995,4725.830078,1000.000000,-1289.929932,-1040.780029,0.000000,-0.000003,-0.000003,0.723871,-0.689935,0.000000,0.000000,-6.000000
