frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
99,False,False,True,True,1.000000,0.000000,30.990000,52.529999,154.509995,243.889999,178.019989,-244.429993,0.990990,-0.124909,-0.025817,0.040858,-1.761100,0.261500,-2.043500
100,False,False,True,True,1.000000,0.000000,33.090000,54.000000,152.419998,252.419998,175.809998,-250.199997,0.989507,-0.133805,-0.026281,0.047774,-1.700600,0.239000,-2.121800
101,False,False,True,True,1.000000,0.000000,35.259998,55.449997,150.289993,260.910004,173.449997,-255.959991,0.987864,-0.143003,-0.026685,0.054426,-1.643200,0.215100,-2.199700
102,False,False,True,True,1.000000,0.000000,37.500000,56.869999,148.110001,269.350006,170.929993,-261.699982,0.986060,-0.152498,-0.027036,0.060824,-1.588900,0.189800,-2.277300
103,False,False,True,True,1.000000,0.000000,39.809998,58.270000,145.879990,277.739990,168.239990,-267.419983,0.984088,-0.162295,-0.027322,0.066974,-1.537600,0.163200,-2.354600
104,False,False,True,True,1.000000,0.000000,42.189999,59.649998,143.599991,286.079987,165.389999,-273.109985,0.981943,-0.172383,-0.027549,0.072892,-1.489200,0.135400,-2.431500
105,False,False,True,True,1.000000,0.000000,44.639999,61.000000,141.279999,294.359985,162.360001,-278.779999,0.979620,-0.182763,-0.027705,0.078584,-1.443600,0.106400,-2.508000
106,False,False,True,True,1.000000,0.000000,47.160000,62.329998,138.910004,302.570007,159.160004,-284.419983,0.977111,-0.193434,-0.027797,0.084054,-1.400700,0.076400,-2.584100
107,False,False,True,True,1.000000,0.000000,49.750000,63.629997,136.489990,310.709991,155.779999,-290.019989,0.974409,-0.204391,-0.027813,0.089314,-1.360500,0.045400,-2.659900
108,False,False,True,True,1.000000,0.000000,52.410000,64.900002,134.029999,318.769989,152.220001,-295.589996,0.971508,-0.215628,-0.027759,0.094374,-1.322900,0.013400,-2.735300
109,False,False,True,True,1.000000,0.000000,55.129997,66.139999,131.520004,326.750000,148.470001,-301.119995,0.968399,-0.227141,-0.027624,0.099235,-1.287800,-0.019300,-2.810300
110,False,False,True,True,1.000000,0.000000,57.919998,67.339996,128.959991,334.639984,144.539993,-306.609985,0.965073,-0.238928,-0.027414,0.103907,-1.255100,-0.052800,-2.884900
111,False,False,True,True,1.000000,0.000000,60.770000,68.510002,126.360001,342.429993,140.419998,-312.049988,0.961519,-0.250986,-0.027122,0.108401,-1.224800,-0.087000,-2.959100
112,False,False,True,True,1.000000,0.000000,63.689999,69.639999,123.709999,350.119995,136.110001,-317.440002,0.957732,-0.263302,-0.026750,0.112717,-1.196800,-0.121900,-3.033000
113,False,False,True,True,1.000000,0.000000,66.669998,70.739998,121.019997,357.699982,131.599991,-322.779999,0.953700,-0.275877,-0.026292,0.116860,-1.171100,-0.157400,-3.106500
114,False,False,True,True,1.000000,0.000000,69.709999,71.799995,118.290001,365.160004,126.899994,-328.070007,0.949413,-0.288706,-0.025747,0.120836,-1.147600,-0.193400,-3.179600
115,False,False,True,True,1.000000,0.000000,72.809998,72.820000,115.509995,372.489990,122.009995,-333.299988,0.944860,-0.301778,-0.025116,0.124655,-1.126200,-0.229900,-3.252400
116,False,False,True,True,1.000000,0.000000,75.970001,73.790001,112.689995,379.690002,116.919998,-338.470001,0.940031,-0.315087,-0.024398,0.128318,-1.106800,-0.266800,-3.324800
117,False,False,True,True,1.000000,0.000000,79.189995,74.720001,109.829994,386.739990,111.639999,-343.570007,0.934917,-0.328628,-0.023589,0.131825,-1.089400,-0.304000,-3.396900
118,False,False,True,True,1.000000,0.000000,82.470001,75.599998,106.919998,393.639984,106.159996,-348.609985,0.929503,-0.342395,-0.022688,0.135186,-1.074000,-0.341500,-3.468700
119,False,False,True,True,1.000000,0.000000,85.809998,76.439995,103.970001,400.380005,100.489998,-353.579987,0.923779,-0.356379,-0.021695,0.138401,-1.060500,-0.379300,-3.540100
120,False,False,True,True,1.000000,0.000000,89.199997,77.229996,100.979996,406.949982,94.629997,-358.479980,0.917736,-0.370567,-0.020611,0.141476,-1.048800,-0.417300,-3.611200
121,False,False,True,True,1.000000,0.000000,92.639999,77.970001,97.949997,413.329987,88.570000,-363.299988,0.911360,-0.384955,-0.019435,0.144411,-1.038900,-0.455400,-3.682000
