frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
174,True,True,8.830000,0.000000,328.320007,7.910000,0.000000,-124.449997,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
175,True,True,8.900000,0.000000,327.239990,7.910000,0.000000,-129.860001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
176,True,True,8.970000,0.000000,326.109985,7.910000,0.000000,-135.270004,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
177,True,True,9.040000,0.000000,324.940002,7.910000,0.000000,-140.679993,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
178,True,True,9.110000,0.000000,323.720001,7.910000,0.000000,-146.089996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
179,True,True,9.179999,0.000000,322.459991,7.910000,0.000000,-151.500000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
180,True,True,9.250000,0.000000,321.149994,7.910000,0.000000,-156.910004,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
181,True,True,9.320000,0.000000,319.799988,7.910000,0.000000,-162.319992,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
182,True,True,9.389999,0.000000,318.399994,7.910000,0.000000,-167.729996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
183,True,True,9.460000,0.000000,316.959991,7.910000,0.000000,-173.139999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
184,True,True,9.530000,0.000000,315.470001,7.910000,0.000000,-178.550003,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
